# Source     : particleCollector
# Bins       : 1
# Total area : 0.2
# Geometry   :
#	Bin	(Centre_x Centre_y Centre_z)	Area
#	0	(5.75 0.1 1)	0.2
#
# Output format:
#	Time	bin_0	mass[0]	massFlowRate[0]
0.25	0	0	0
0.5	0	0	0
0.75	0	0	0
1	0	0	0
1.25	0	0	0
1.5	0	0	0
1.75	0	0	0
2	0	0	0
2.25	0	0	0
2.5	0	0	0
2.75	0	1.66697e-06	1.01029e-07
3	0	5.33337e-05	2.75061e-06
3.25	0	0.000114998	5.46115e-06
3.5	0	0.000177214	7.83127e-06
3.75	0	0.000247214	1.01646e-05
4	0	0.000304436	1.18476e-05
4.25	0	0.00037388	1.36631e-05
4.5	0	0.000439436	1.51966e-05
4.75	0	0.000502215	1.65183e-05
5	0	0.000578337	1.79682e-05
